Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
Flipkart Axis Bank Super Elite Credit Card,Shopping,Rs. 500,Rs. 500,"Get 500 SuperCoins as a welcome benefit, free Ganna Pus trial membership, and a Youtube trial membership.","12% SuperCoins on Flipkart purchases (for plus members), 6% Super Coins on Flipkart purchases (for non-plus members), and 2% SuperCoins on all other retail purchases.","Get a discount of up to Rs. 1,500 on domestic flights and up to Rs. 5,000 off on international flight bookings (introductory offer)",NA,NA,NA,The SuperCoins can be redeemed against Flipkart purchases and various gift voucher options available on Flipkart. 1 Super Coin = Re. 1.,NA,NA,The cardholders get zero liability protection against all fraudulent/unauthorized transactions if they report the loss to the bank in a timely manner.,The annual fee is waived on spending Rs. 2 lakhs or more in the previous year.,NA,3.5% of the total transaction amount,3.6% per month,1% fuel surcharge waiver on all fuel transactions,2.5% of the withdrawn amount subject to a minimum of Rs. 500,NA,NA,NA
Axis Bank ACE Credit Card,Shopping,Rs. 499 (plus applicable taxes),Rs. 499 (plus applicable taxes),NA,"5% cashback on paying bills & on mobile recharges via GPay, 4% cashback on Swiggy, Ola7 Zomato, and 2% cashback elsewhere.","Complimentary lounge access per year at domestic airports, accelerated (4%) cashback on Ola rides with Axis Bank Ace Card.",4 complimentary airport lounge visits to domestic airport lounges per year,NA,"A discount of up to 20% on dining at 4,000+ restaurants under the Axis Bank Dining Delights program.",Your earned cashback is automatically credited to the cardholders’ accounts.,NA,NA,Cardmembers won’t be liable for any unauthorized/fraudulent transactions if the loss of the card is reported within 3 days.,"Joining fee is waived on spends of Rs. 10,000 within 45 days of card issuance, and annual fee (2nd year onwards) is waived on total annual spends of Rs. 2,00,000.",NA,3.5% of the transaction amount,3.4% per month or 49.36% annualized,"1% fuel surcharge is waived for purchases worth between Rs. 400 and Rs. 4,000 (maximum waiver of Rs. 500/month).","2.5% of the withdrawn amount, subject to a minimum amount of Rs. 500.",NA,"You are looking for a cashback-based entry-level credit card and use Google Pay frequently for bill payments and mobile/DTH recharges.
You frequently dine in and order food online via Swiggy/Zomato.
You want an entry-level credit card that also provides the free airport lounge access privilege.",Documents Required
Flipkart Axis Bank Credit Card,Shopping,Rs. 500 (plus applicable taxes),Rs. 500 (plus applicable taxes),"Introductory benefits worth Rs. 1,100 on card issuance, benefit of up to Rs. 500 worth Flipkart vouchers, 15% cashback up to Rs. 500 on your first transaction on Myntra and 50% discount up to Rs. 100 on your first transaction for new to Swiggy customers.","5% cashback on Flipkart and Myntra, 4% cashback on prefered partners (Swiggy, Uber, PVR and cure.fit) and 1.5% cashback on all other spends.","4 complimentary domestic lounge visits annually, accelerated cashback (4%) on Uber rides.",4 free domestic airport lounge access per year,NA,"Up to 20% off at partner restaurants under Axis bank’s exclusive Dining Delights program, accelerated cashback (4%) on PVR cinemas.",NA,NA,NA,Cardmembers are not liable for any unauthorized spends made on their card if loss of card reported within 3 days.,The renewal fee is waived upon achieving a minimum annual spend of Rs. 2 lacs,NA,3.5% of the total conversion amount,3.4% per month (49.36% annually),"Avoid 1% fuel surcharge for fuel purchases between Rs. 400 & Rs. 4,000 (max waiver capped at Rs. 500/month).",2.5% (Min. Rs. 500) of the withdrawn amount.,NA,"You are someone who is fond of online shopping and prefers Flipkart over Amazon for most purchases.
You use Swiggy for ordering food and Uber for hailing a taxicab or renting a car.
4 lounge access per annum at domestic airports are enough for you.",Flipkart Axis Bank Credit Card Eligibility Criteria
Airtel Axis Bank Credit Card,Shopping,Rs. 500,Rs. 500,Amazon gift voucher worth Rs. 500 after payment of the joining fee.,"25% cashback on airtel mobile, broadband, wifi, and DTH recharges, 10% cashback on utility bill payments via Airtel Thanks app, 10% cashback on partner brands, and 1% cashback elsewhere.",Complimentary domestic lounge access.,4 complimentary domestic lounge access every year.,NA,Up to 20% off on dining across several participating restaurants.,NA,NA,NA,You will not be liable for any fraudulent transactions made on a lost/stolen card if the loss is reported to the bank in a timely manner.,The annual fee is waived off on spending Rs. 2 lakhs or more in the previous year.,NA,3.5% of the total transaction amount.,3.6% per month,"1% fuel surcharge waiver on all transactions between Rs. 400 and Rs. 4,000.",2.5% of the withdrawn amount or Rs. 500 (whichever is higher),NA,NA,NA
Samsung Axis Bank Infinite Credit Card,Shopping,"Rs. 5,000 (plus applicable taxes)","Rs. 5,000 (plus applicable taxes)","30,000 EDGE Reward Points","15 EDGE Points for every Rs. 100 spent on merchants like BigBasket, Tata 1mg, Zomato, etc, 15 EDGE Points for every Rs. 100 spent on International transactions, and 5 EDGE Points per Rs. 100 spent on all other spends.",Complimentary access to International as well as Domestic Airport Lounges.,8 complimentary domestic airport lounge visits every year.,NA,"Complimentary 1-year EazyDiner Membership.
25% off on dining bills (up to Rs. 800) twice per month for transactions above 2,000.",EDGE REWARDS Points are redeemable at the Axis EDGE REWARDS portal where 1 Edge Reward = Re. 0.20. EDGE Points can also be transferred to partner Airlines/Hotels Rewards Program.,NA,Priority pass membership with 6 complimentary International airport lounge visits every year.,Cardholders will not be held liable for any fraudulent transactions done on the card post reporting the card lost or stolen to the bank.,"The Annual fee of Rs. 5,000 is waived on spending Rs. 7 Lakh or more in the previous year.",NA,3.5% of the transaction amount,3.6% per month (52.86% per annum),"1% fuel surcharge waiver on fuel transactions between Rs. 400 and Rs. 5,000 (caped at Rs. 500 in a month).",2.5% of the amount withdrawn or flat Rs. 500.,NA,NA,NA
Samsung Axis Bank Signature Credit Card,Shopping,Rs. 500,Rs. 500,"2,500 bonus Edge Rewards on making at least 3 transactions within the first 30 days of card issuance.",10 Edge Rewards on every Rs. 100 spent on partnered brands and 5 Edge Rewards on other spends.,Complimentary airport lounge access every year.,4 complimentary domestic lounge access every year.,NA,"15% discount on dining across over 4,000 premium restaurants twice every month.",The earned Edge Rewards can be redeemed against various options available on Axis Bank’s Edge Rewards portal at a rate of 1 Edge Reward = Re. 0.20.,NA,NA,Get a zero liability protection against a lost/stolen card on reporting the loss to the bank in a timely manner.,The annual fee of Rs. 500 is waived on spending Rs. 2 lakhs or more in the previous anniversary year.,NA,3.5% of the total transaction amount,3.6% per month,"1% fuel surcharge waiver on all fuel purchases between Rs. 400 and Rs. 4,000.",2.5% of the withdrawn amount subject to a minimum of Rs. 500.,NA,NA,NA
Axis Bank Vistara Infinite Credit Card,Travel,"Rs. 10,000 (plus applicable taxes)","Rs. 10,000 (plus applicable taxes)",1 Complimentary Business Class ticket voucher,6 CV (Club Vistara) Points per Rs. 200 you spend,Complimentary domestic lounge visits per quarter at select airports across India & complimentary Club Vistara gold membership.,2 Complimentary access to domestic lounges per quarter at select airports across India,"Air accident cover up to Rs. 2.5 crores, Purchase protection cover up to Rs. 1,00,000, USD 300 cover in case of loss of travel documents, USD 300 cover for delay in check-in luggage, 500 USD cover in case of loss of check-in baggage",Get up to 20% discount on partner restaurants all over India under Axis Bank’s Dining Delights program,"Club Vistara Points can be used for booking award flights, class upgrades, or seat reservation under the Vistara Cash + Points program (1 CV Point = Rs. 0.2)",6 Complementary rounds of golf at India’s most premium golf destinations,NA,"Zero cost liability cover up to Rs. 3,00,000 after reporting the loss of card. Bank not liable for any fraudulent transaction prior to reporting",NA,NA,3.5% (plus applicable taxes),3.6% per month (or 52.86% per annum),"1% waiver on fuel surcharge for all fuel transactions between Rs. 400 & Rs. 4,000.",2.5% of the transaction amount subject to a minimum charge of Rs. 500,NA,NA,Documents Required
Axis Bank Vistara Signature Credit Card,Travel,"Rs 3,000 (plus applicable taxes)","Rs 3,000 (plus applicable taxes)",1 complimentary Premium Economy Class air ticket and complimentary Club Vistara Silver Membership,4 CV (Club Vistara) Points for every Rs. 200 spent,"Club Vistara Silver Membership, complimentary Premium Economy Class ticket, complimentary domestic airport lounge access",Complimentary access to domestic lounges up to 2 times in a quarter,"Air accident cover worth up to Rs 2.5 crore, purchase protection cover worth up to Rs. 1 lakh and insurance worth USD 300 against loss of travel documents and delay/loss of check-in baggage",NA,"Club Vistara Points can be spent on booking award flights, class upgrades, or against any seat reservation under the Vistara Cash + Points program (1 CV Point = Rs. 0.20)",3 Complimentary Golf sessions at some of India’s most premium golf destinations.,NA,The cardholder will not be liable for any fraudulent transaction made using his credit card post he has reported the loss or theft of the card to the bank.,NA,NA,3.5% of the transaction amount,3.6% per month (52.86% per annum),NA,2.5% of the amount withdrawn (subject to a minimum charge of Rs. 500),NA,NA,NA
Axis Bank Vistara Credit Card,Travel,"Rs. 1,500 (plus applicable taxes)","Rs. 1,500 (plus applicable taxes)",1 complimentary economy class ticket voucher,2 CV (Club Vistara) Points per Rs. 200 spent,Club Vistara Base Membership and complimentary domestic lounge access every quarter.,2 complimentary domestic lounge access per quarter,"Insurance covers are provided for air accident, lost/delayed baggage, and lost travel documents.",Up to a 20% discount on dining at Axis bank’s partner restaurants,Club Vistara Points you earn can be redeemed easily by logging in to the Club Vistara official website,NA,None,You will not be liable for any fraudulent transactions made on your lost/stolen card if you fulfill Axis bank’s terms & conditions for the same,None,NA,3.5% of the transaction amount,3.6% per month (52.86% annually),1% fuel surcharge is applicable,2.5% of the amount withdrawn subject to a minimum of Rs. 500,NA,NA,NA
SpiceJet Axis Bank Voyage Black Credit Card,Travel,"Rs. 2,000","Rs. 2,000","Get a SpiceJet flight voucher worth Rs. 4,000 and complimentary Spiceclub Gold membership.","28 Spiceclub Points on every Rs. 200 spent on SpiceJet mobile app/website, 12 Spiceclub points on online entertainment, food order, & online bill payments, and 6 Spiceclub points on all other transactions.",Complimentary access to domestic airport lounges.,8 complimentary domestic lounge access every year.,NA,Get  up to 20% discount on dining at several participating restaurants.,"The earned Spiceclub Points can be redeemed against flight tickets, meal vouchers, etc, via the SpiceJet website or mobile app. 1 Spiceclub Point is equivalent to Re. 0.5.",NA,NA,The cardholders will not be liable for any fraudulent transactions made against a lost/stolen card if the loss is reported to the bank in a timely manner.,NA,NA,3.5% of the total transaction amount,3.6% per month.,"1% fuel surcharge waiver on all fuel transactions between Rs. 400 and Rs. 4,000.",2.5% of the transaction amount subject to a minimum of Rs. 500.,NA,"Identity Proof: Aadhar Card, Passport, PAN Card, Driving License, etc.
Address Proof: Aadhar Card, Electricity Bills, Telephone bills, etc.
Income Proof: Latest ITR, latest salary slips.
Colored photograph.",NA
SpiceJet Axis Bank Voyage Credit Card,Travel,Rs. 750,Rs. 750,"SpiceJet flight voucher of Rs. 1,500 on completion of 2 transactions with 30 days of the card issuance.","Maximum 18 Spiceclub points for every Rs. 200 you spend on SpiceJet website and mobile application, 6 Spiceclub points for every Rs. 200 spent on online transactions, and 3 Spiceclub points for every Rs. 200 spent on all other domestic and international transactions.",Complimentary access to lounges at airports in India,4 complimentary domestic airport lounge visits every year,NA,Up to 20% on your dining bills under the Dining Delights Program,"The Spiceclub points can be redeemed against booking flight tickets, meal vouchers, etc that are available on the SpiceJet Website or Mobile App",NA,NA,Zero Liability Protection is provided against lost/stolen credit cards upon reporting to the customer care of the bank.,NA,NA,3.5% on all international transactions,3.6% per month (or 52.86% annually),1% at all fuel stations in India,2.5% of the amount withdrawn or Rs. 500 (whichever is higher),NA,NA,NA
